备注,前缀1,目标
ID,Prefix1,Target
1,\:(,me
2,\:(,you
3,\:(,i
4,\:(,u
5,\:(,
6,\:),me
7,\:),you
8,\:),i
9,\:),u
10,\:),
11,\?,me
12,\?,you
13,\?,i
14,\?,u
15,\?,
16,\accuse,me
17,\accuse,you
18,\accuse,i
19,\accuse,u
20,\accuse,
21,\addoil,me
22,\addoil,you
23,\addoil,i
24,\addoil,u
25,\addoil,
26,\admire,me
27,\admire,you
28,\admire,i
29,\admire,u
30,\admire,
31,\admit,me
32,\admit,you
33,\admit,i
34,\admit,u
35,\admit,
36,\agree,me
37,\agree,you
38,\agree,i
39,\agree,u
40,\agree,
41,\ah,me
42,\ah,you
43,\ah,i
44,\ah,u
45,\ah,
46,\angry,me
47,\angry,you
48,\angry,i
49,\angry,u
50,\angry,
51,\anniversary,me
52,\anniversary,you
53,\anniversary,i
54,\anniversary,u
55,\anniversary,
56,\benger,me
57,\benger,you
58,\benger,i
59,\benger,u
60,\benger,
61,\bite,me
62,\bite,you
63,\bite,i
64,\bite,u
65,\bite,
66,\blush ,me
67,\blush ,you
68,\blush ,i
69,\blush ,u
70,\blush ,
71,\boat,me
72,\boat,you
73,\boat,i
74,\boat,u
75,\boat,
76,\bow,me
77,\bow,you
78,\bow,i
79,\bow,u
80,\bow,
81,\brag,me
82,\brag,you
83,\brag,i
84,\brag,u
85,\brag,
86,\brother,me
87,\brother,you
88,\brother,i
89,\brother,u
90,\brother,
91,\bug,me
92,\bug,you
93,\bug,i
94,\bug,u
95,\bug,
96,\bye,me
97,\bye,you
98,\bye,i
99,\bye,u
100,\bye,
101,\byebye,me
102,\byebye,you
103,\byebye,i
104,\byebye,u
105,\byebye,
106,\careful,me
107,\careful,you
108,\careful,i
109,\careful,u
110,\careful,
111,\claw,me
112,\claw,you
113,\claw,i
114,\claw,u
115,\claw,
116,\chitchat,me
117,\chitchat,you
118,\chitchat,i
119,\chitchat,u
120,\chitchat,
121,\club,me
122,\club,you
123,\club,i
124,\club,u
125,\club,
126,\cold ,me
127,\cold ,you
128,\cold ,i
129,\cold ,u
130,\cold ,
131,\comfort,me
132,\comfort,you
133,\comfort,i
134,\comfort,u
135,\comfort,
136,\congra,me
137,\congra,you
138,\congra,i
139,\congra,u
140,\congra,
141,\cook,me
142,\cook,you
143,\cook,i
144,\cook,u
145,\cook,
146,\corpse,me
147,\corpse,you
148,\corpse,i
149,\corpse,u
150,\corpse,
151,\courage,me
152,\courage,you
153,\courage,i
154,\courage,u
155,\courage,
156,\crazy,me
157,\crazy,you
158,\crazy,i
159,\crazy,u
160,\crazy,
161,\cry,me
162,\cry,you
163,\cry,i
164,\cry,u
165,\cry,
166,\cut,me
167,\cut,you
168,\cut,i
169,\cut,u
170,\cut,
171,\deadlove,me
172,\deadlove,you
173,\deadlove,i
174,\deadlove,u
175,\deadlove,
176,\disapp,me
177,\disapp,you
178,\disapp,i
179,\disapp,u
180,\disapp,
181,\doubt,me
182,\doubt,you
183,\doubt,i
184,\doubt,u
185,\doubt,
186,\drinkcup,me
187,\drinkcup,you
188,\drinkcup,i
189,\drinkcup,u
190,\drinkcup,
191,\drug ,me
192,\drug ,you
193,\drug ,i
194,\drug ,u
195,\drug ,
196,\dumb,me
197,\dumb,you
198,\dumb,i
199,\dumb,u
200,\dumb,
201,\escape,me
202,\escape,you
203,\escape,i
204,\escape,u
205,\escape,
206,\faint,me
207,\faint,you
208,\faint,i
209,\faint,u
210,\faint,
211,\fat,me
212,\fat,you
213,\fat,i
214,\fat,u
215,\fat,
216,\fear,me
217,\fear,you
218,\fear,i
219,\fear,u
220,\fear,
221,\ghostlove,me
222,\ghostlove,you
223,\ghostlove,i
224,\ghostlove,u
225,\ghostlove,
226,\goodbye,me
227,\goodbye,you
228,\goodbye,i
229,\goodbye,u
230,\goodbye,
231,\goodkid,me
232,\goodkid,you
233,\goodkid,i
234,\goodkid,u
235,\goodkid,
236,\grin,me
237,\grin,you
238,\grin,i
239,\grin,u
240,\grin,
241,\grpfight,me
242,\grpfight,you
243,\grpfight,i
244,\grpfight,u
245,\grpfight,
246,\gun,me
247,\gun,you
248,\gun,i
249,\gun,u
250,\gun,
251,\handsome,me
252,\handsome,you
253,\handsome,i
254,\handsome,u
255,\handsome,
256,\heihei,me
257,\heihei,you
258,\heihei,i
259,\heihei,u
260,\heihei,
261,\hehe,me
262,\hehe,you
263,\hehe,i
264,\hehe,u
265,\hehe,
266,\hero,me
267,\hero,you
268,\hero,i
269,\hero,u
270,\hero,
