STRID,LAN,Remark
card_get_luck,"%s l¤y ðßþc bäo v§t %s",
card_get_treasure,"%s l¤y ðßþc bäo v§t %s",
card_mail_sender,"Trung tâm ðÕo cø bao",
card_mail_title,"Bßu ki®n ðÕo cø bao",
company_name,,
cha_addoneself_shield_error,"Không th¬ tñ c¤m mình phát ngôn",
cha_channel_shielded_error,"Kênh này ðã b¸ ch£n",
cha_is_forbidded_error,"BÕn ðã b¸ c¤m phát ngôn",
cha_no_faction_error,"Hi®n chßa có môn phái",
cha_no_party_error,"Hi®n chßa có bang hµi",
cha_no_spouse_error,"Hi®n chßa có phu quân/ thê tØ",
cha_no_team_error,"Hi®n chßa có nhóm",
cha_notenough_energy_error,"BÕn không ðü sÑc ð¬ gào thét næa.",
cha_p_add_blackuser_ok,"Ðã ðßa %s vào danh sách ngån ch£n",
cha_p_del_blackuser_ok,"Ðã xóa %s khöi danh sách ngån ch£n",
cha_p_forbid_ok,"C¤m %s phát ngôn thành công, duy trì trong %d giây",
cha_p_listen_ok,"Nghe [%s] ok",
cha_p_offline_error,"%s không có m£t",
cha_p_unforbid_ok,"Hüy bö c¤m phát ngôn %s thành công",
cha_p_unlisten_ok,"Ng×ng nghe [%s]",
cha_romor_failed_error,"Vi®c n£c danh cüa bÕn ðã th¤t bÕi",
cha_userdata_error,"Sai dæ li®u ngß¶i dùng",
chat_world_with_item,"#u#cff0000 Thiên Lý Truy«n Âm #n",
dteam_add_err_alreadyin,"Ð¯i phß½ng ðã · trong nhóm thi ð¤u cüa bÕn",
dteam_add_err_full,"S¯ ngß¶i trong nhóm thi ð¤u ðã ðü",
dteam_already_joined_one,"BÕn ðã vào mµt nhóm thi ð¤u.",
dteam_col_joinrate,"Tï l® ðánh",
dteam_col_joinstate,Tình hình,
dteam_col_lev,C¤p,
dteam_col_name,Tên,
dteam_col_official,"ChÑc v¸",
dteam_col_party,"Môn phái",
dteam_col_score,"Ði¬m tích lûy",
dteam_col_score_pve,"Ði¬m PvE",
dteam_col_score_pvp,"Ði¬m PvP",
dteam_create_error,"TÕo l§p th¤t bÕi",
dteam_create_inputname,"Vui lòng nh§p tên nhóm thi ð¤u",
dteam_create_nameinvalid,"TÕo l§p th¤t bÕi, tên không hþp l®",
dteam_create_namesame,"TÕo l§p th¤t bÕi, tên này ðã ðßþc sØ døng, vui lòng ch÷n tên khác",
dteam_create_new,"L§p nhóm",
dteam_create_success,"TÕo l§p nhóm thi ð¤u thành công",
dteam_create_userlev,"BÕn phäi ðÕt ðªn c¤p %d m¾i có th¬ tÕo nhóm thi ð¤u",
dteam_delete_team,"BÕn quyªt ð¸nh giäi tán nhóm thi ð¤u?",
dteam_delete_this,"Giäi tán nhóm",
dteam_destroy_error1,"Giäi tán nhóm thi ð¤u th¤t bÕi, hi®n vçn còn thành viên trong ð¤u trß¶ng",
dteam_destroy_error2,"Giäi tán nhóm thi ð¤u th¤t bÕi, hi®n nhóm vçn ðang tñ ðµng ghép c£p trong ð¤u trß¶ng",
dteam_destroyed,"Nhóm thi ð¤u mà bÕn tham gia ðã giäi tán",
dteam_dismiss_makesure,"BÕn quyªt ð¸nh trøc xu¤t %s ra khöi nhóm thi ð¤u?",
dteam_enter_actorcount_invalid,"Gi¾i hÕn s¯ ngß¶i vào %s là %d - %d ngß¶i",
dteam_enter_battle_error,"Không th¬ vào Tu Luy®n Trß¶ng khi ðang trong trÕng thái chiªn ð¤u",
dteam_enter_error2,"Ngß¶i ch½i %s v¡ng m£t, không th¬ tham gia thi ð¤u",
dteam_enter_error3,"Ngß¶i ch½i %s ðang trong c¤m ð¸a, không th¬ tham gia thi ð¤u",
dteam_error1,"BÕn không có quy«n hÕn này",
dteam_invite,"Vui lòng nh§p tên ngß¶i ch½i mà bÕn mu¯n m¶i tham gia nhóm thi ð¤u",
dteam_invite_nothisuser,"Không tìm ðßþc nhân v§t cüa ngß¶i ch½i chï ð¸nh",
dteam_joinstate,Ð¤u,
dteam_leaderleave_makesure,"BÕn là nhóm trß·ng cüa nhóm thi ð¤u, không th¬ bö ði",
dteam_leave_err_leader,"Nhóm trß·ng không th¬ r¶i khöi nhóm thi ð¤u, nhßng bÕn có quy«n giäi tán nhóm thi ð¤u",
dteam_leave_makesure,"BÕn quyªt ð¸nh r¶i khöi nhóm thi ð¤u?",
dteam_member_be_kicked,"%s ðã b¸ trøc xu¤t khöi nhóm thi ð¤u",
dteam_member_leave,"%s ðã r¶i khöi nhóm thi ð¤u",
dteam_new_member,"%s ðã vào nhóm thi ð¤u",
dteam_no_team,"BÕn không n¢m trong nhóm thi ð¤u nào.",
dteam_official_leader,"Trß·ng nhóm",
dteam_official_mass,"Thành viên",
dteam_official_subleader,"Phó nhóm",
dteam_other_alr_joinedone,"Ð¯i phß½ng ðã vào mµt nhóm thi ð¤u khác.",
dteam_other_invite,"%s m¶i bÕn gia nh§p nhóm thi ð¤u, %s, bÕn có ð°ng ý không?",
dteam_rankcol_arglevel,"C¤p TB",
dteam_rankcol_dungeonlevel,"C¤p ðµ ",
dteam_rankcol_rank,"S¡p xªp tên",
dteam_rankcol_team,Nhóm,
dteam_rankcol_teamleader,"Nhóm trß·ng",
dteam_response_agree,"%s ð°ng ý gia nh§p nhóm thi ð¤u cüa bÕn",
dteam_response_decline,"%s t× ch¯i gia nh§p nhóm thi ð¤u cüa bÕn",
dteam_selcol_actorcount,"Gi¾i hÕn ngß¶i",
dteam_selcol_type,LoÕi,
dteam_u_be_kicked,"BÕn b¸ trøc xu¤t ra khöi nhóm thi ð¤u",
dteam_user_notfound,"Không tìm ðßþc nhân v§t này",
float_msg_dodge,"Né tránh",
float_msg_enter_battle,"Chiªn Ð¤u",
float_msg_full,"Chí mÕng",
float_msg_hits,"Chiêu",
float_msg_leave_battle,"H°i Thü",
float_msg_min,"T¯i thi¬u",
float_msg_miss,"Trßþt",
float_msg_parry,"Ch¯ng ðÞ",
font_s_17,17,
font_s_18,18,
font_title,title,
game_big5_name1,qibin001_1,
game_big5_name2,qibin001_2,
game_malay_gb_name1,anhei001_1,
game_malay_gb_name2,anhei001_2,
game_name1,tandao001_1,
game_name2,tandao001_2,
gender_man,Nam,
gender_women,Næ,
gm_cmd_error,"Hình thÑc l®nh b¸ sai",
gm_cmd_unknown,"L®nh không xác ð¸nh",
gm_creitem_err,"L²i tÕo tham s¯",
gm_err_unknown,"L²i không xác ð¸nh",
gm_item_not_found,"Không tìm th¤y v§t ph¦m chï ð¸nh",
gm_load_data_err,"L¤y dæ li®u ngß¶i ch½i th¤t bÕi",
gm_money_invalid,"Lßþng vàng không hþp l®",
gm_name,GM,
gm_op_data_err,"Thao tác trên dæ li®u ngß¶i ch½i th¤t bÕi ",
gm_send_mail_fail,"L²i gØi bßu ki®n",
gm_sys_admin,"Ban quän lý ",
gm_user_offline,"Ngß¶i ch½i không có m£t",
gm_user_online,"Ngß¶i ch½i có m£t, thao tác phäi thñc hi®n khi không có m£t.",
gm_userlev_invalid,"C¤p ðµ nhân v§t cüa ngß¶i ch½i không hþp l®",
GUILD_ADD_MEMBER,"Vui lòng nh§p tên cüa ngß¶i ðßþc m¶i gia nh§p bang hµi.",
GUILD_BANK,"Thß½ng kh¯ bang hµi",
GUILD_BANK_CANNOTWITHDRAW,"BÕn không có quy«n hÕn rút ti«n trong thß½ng kh¯ bang hµi",
GUILD_BANK_COL_ITEM,"V§t ph¦m",
GUILD_BANK_COL_MONEY,"Ngân lßþng",
GUILD_BANK_COL_OP,"Thao tác",
GUILD_BANK_COL_TIME,"Th¶i gian",
GUILD_BANK_COL_USERNAME,"Nhân v§t",
GUILD_BANK_HIS_TIME,"%02d/%02d %02d:%02d",
GUILD_BANK_ITEMCANNOTTRADE,"V§t ph¦m này không th¬ ð¬ vào thß½ng kh¯ bang hµi",
GUILD_BANK_SAVE,GØi,
GUILD_BANK_WITHDRAW,Rút,
GUILD_BULL_ERROR1,"BÕn không có quy«n hÕn này",
GUILD_BULL_ERROR2,"Tin tÑc bang hµi quá dài",
GUILD_BULLETIN_TLIMIT,"M²i phút bÕn chï có th¬ c§p nh§t tin tÑc bang hµi mµt l¥n.",
GUILD_BULLETIN_TODAY,"Thông báo bang",
GUILD_BUND_MSG1,"Bang hµi %s không t°n tÕi",
GUILD_BUND_MSG2,"Bang hµi %s ðã là ð°ng minh cüa ðÕo hæu",
GUILD_BUND_MSG3,"Mµt bang hµi chï có th¬ có t¯i ða %d ð°ng minh",
GUILD_BUND_MSG4,"Thêm bang hµi ð°ng minh %s thành công",
GUILD_BUND_MSG5,"Bang hµi %s không n¢m trong danh sách bang hµi ð°ng minh cüa ðÕo hæu",
GUILD_BUND_MSG6,"Xóa bang hµi ð°ng minh %s thành công",
GUILD_BUND_MSG7,"Chï có bang chü m¾i có th¬ tiªn hành thao tác này",
GUILD_BUND_MSG8,"ÐÕo hæu không có bang hµi",
GUILD_BUNDGUILD_ADD,"Vui lòng ði«n tên bang hµi mu¯n kªt ð°ng minh",
GUILD_BUNDGUILD_SURE_DELETE,"Xác nh§n hüy quan h® ð°ng minh v¾i bang hµi [%s]?",
GUILD_CONTRI_DESC,"Vui lòng nh§p ngân lßþng mà bÕn mu¯n quyên góp (Ð½n v¸: lßþng vàng). M²i lßþng vàng quyên góp s¨ nh§n ðßþc 30 ði¬m c¯ng hiªn. Ngân lßþng này s¨ ðßþc h® th¯ng t¸ch thu, không th¬ góp vào ngân kh¯ cüa bang hµi.",
GUILD_CONTRI_REACH_MAX,"M²i ngày bÕn chï có th¬ tång ðµ c¯ng hiªn lên t¯i ða là %d, vì v§y hôm nay bÕn chï có th¬ quyên góp thêm t¯i ða là %d lßþng vàng",
GUILD_CONTRI_SUCCESS,"Quyên góp ngân lßþng thành công",
GUILD_CONTRIBUTE_EXPR_HINT,"Tång thêm %d ðµ c¯ng hiªn và ðµ ph°n vinh cüa bang hµi",
GUILD_COPY_GUILD_NAME,"Sao chép tên bang hµi",
GUILD_CREATE_ERR1,"BÕn ðã là thành viên cüa mµt bang hµi r°i.",
GUILD_CREATE_FAILED,"TÕo bang th¤t bÕi do l²i máy chü",
GUILD_CREATE_SUCCESS,"L§p bang hµi thành công",
GUILD_DESTROY_CONFIRM,"BÕn mu¯n giäi tán bang hµi?",
GUILD_DESTROY_ERR1,"BÕn không thuµc bang hµi nào.",
GUILD_DESTROY_ERR2,"Bang hµi ðã · trong giai ðoÕn chu¦n b¸ giäi tán.",
GUILD_ERROR_UNKNOWN,"L²i bang hµi chßa rõ.",
GUILD_EXPR_HINT1,"Ðµ c¯ng hiªn bang hµi hôm nay ít nh¤t phäi là %d",
GUILD_EXPR_HINT2,"Ðµ c¯ng hiªn bang hµi hôm nay t¯i ða không vßþt quá %d",
GUILD_EXPR_HINT3,"Hôm nay ðÕo hæu ðã ðÕt ðµ c¯ng hiªn t¯i ða nên không th¬ nh§n thêm %d ðµ c¯ng hiªn næa",
GUILD_GUILD_STATE,"TrÕng thái bang hµi",
GUILD_HOUSEHOLD_DEFNAME,"Phân ðß¶ng %d",
GUILD_HOUSEHOLD_MANAGERUP_OFF1,"Thành viên có phân ðß¶ng không th¬ thång lên c¤p ðµ cao h½n, vui lòng r¶i khöi phân ðß¶ng trß¾c ",
GUILD_HOUSEHOLD_NAME_INVALID,"Tên phân ðß¶ng trong bang hµi phäi ít h½n 6 ký tñ và không ðßþc chÑa nhæng ký tñ không hþp l®.",
GUILD_HOUSEHOLD_NONE,"(Không có phân ðß¶ng)",
GUILD_HOUSEHOLD_ONEMANAGER,"M²i phân ðß¶ng chï cho phép có mµt ðß¶ng chü",
GUILD_HOUSEHOLD_SAMENAME,"Tên phân ðß¶ng không ðßþc trùng",
GUILD_I_LEAVE,"R¶i bang hµi",
GUILD_INVITE_ERR1,"Ngß¶i ch½i này ðã gia nh§p bang hµi khác",
GUILD_INVITE_JOIN,"M¶i gia nh§p bang hµi",
GUILD_LEADER_CHANGE,"BÕn ðã có tân bang chü",
GUILD_LIST_AREA,"Khu vñc",
GUILD_LIST_CONTRIBUTE,"C¯ng hiªn tích lûy",
GUILD_LIST_LASTONLINE,"Có m£t",
GUILD_LIST_LEVEL,"C¤p ðµ",
GUILD_LIST_NAME,"Danh xßng",
GUILD_LIST_OFFICIAL,"ChÑc vø",
GUILD_LIST_PARTY,"Môn phái",
GUILD_LIST_TITLE,"Danh hi®u",
GUILD_LIST_TODAYCONTRIBUTE,"C¯ng hiªn hôm nay ",
GUILD_MEM_OFFICIAL_CONFIRM,"BÕn th§t sñ mu¯n giao cho [%s] chÑc vø %s?",
GUILD_MEM_REMOVE_CONFIRM,"BÕn th§t sñ mu¯n khai tr× thành viên [%s]?",
GUILD_MEM_SET_TO_LEADER,"BÕn th§t sñ mu¯n thång [%s] làm bang chü, thay thª v¸ trí cüa bÕn?",
GUILD_MEMBER_BE_KICKED,"%s ðã b¸ ðu±i ra khöi bang hµi",
GUILD_MEMBER_COUNT1,"Thành viên",
GUILD_MEMBER_EXIST,"Nhân v§t này ðã · trong bang hµi.",
GUILD_MEMBER_FULL,"S¯ ngß¶i c¤p ðµ này trong bang hµi ðã ðÕt ðªn gi¾i hÕn.",
GUILD_MEMBER_INFO,"Tin tÑc thành viên bang hµi",
GUILD_MEMBER_LEFT,"%s ðã r¶i khöi bang hµi",
GUILD_MEMBER_REMOVE,"Xóa thành viên bang hµi",
GUILD_NAME_EXIST,"Tên bang hµi ðã t°n tÕi, vui lòng nh§p tên khác.",
GUILD_NAME_INVALID,"Tên bang hµi không ðúng  (t¯i ða 8 kí tñ)",
GUILD_NEED_ITEM,"Không có v§t ph¦m tÕo bang hµi",
GUILD_NEED_LEV,"ÐÕo hæu phäi ðÕt c¤p 20 m¾i có th¬ tÕo bang hµi.",
GUILD_NEED_MONEY,"BÕn phäi chi 50 lßþng vàng m¾i có th¬ l§p bang hµi.",
GUILD_NEW_BULLETIN,"Tin tÑc bang hµi ðã ð±i m¾i",
GUILD_NEW_MEMBER,"%s ðã gia nh§p bang hµi",
GUILD_OFF_ERR1,"Thay ð±i th¤t bÕi, bÕn hi®n chï có th¬ có t¯i ða %d phân ðß¶ng",
GUILD_OFF_ERR2,"Thay ð±i th¤t bÕi, t¯i ða chï có th¬ có 2 trß·ng lão",
GUILD_OFF_ERR3,"Thay ð±i th¤t bÕi, t¯i ða chï có th¬ có 1 bang chü, nªu c¥n vui lòng thay bang chü",
GUILD_OFF_ERR4,"Thay ð±i th¤t bÕi, m²i phân ðß¶ng chï có t¯i ða mµt ðß¶ng chü",
GUILD_OFF_ERR5,"Trong 24 tiªng chï có th¬ thay ð±i chÑc vø bang chü và trß·ng lão 1 l¥n, vui lòng ngày mai quay lÕi.",
GUILD_OFFICIAL_CHANGE,"Thay ð±i chÑc vø bang hµi: [%s] t× %s ð±i thành %s",
GUILD_OFFICIAL_LEADER,"Bang chü",
GUILD_OFFICIAL_MANAGER,"Ðß¶ng chü",
GUILD_OFFICIAL_MASS,"Bang chúng",
GUILD_OFFICIAL_NEWBIE,"Tân Thü ",
GUILD_OFFICIAL_SENETOR,"Trß·ng lão",
GUILD_OFFLINE,"V¡ng m£t",
GUILD_ONLINE,"Có m£t",
GUILD_OP_ERR1,"Hôm nay ðÕo hæu ðã r¶i khöi bang hµi, trong vòng 24 tiªng không th¬ thñc hi®n thao tác này.",
GUILD_OTHER_INVITE,"%s m¶i bÕn gia nh§p bang hµi: %s, bÕn có ð°ng ý không?",
GUILD_PLAYER_STATE,"TrÕng thái ngß¶i ch½i",
GUILD_POINT_EXPR_HINT,"Tång thêm %d  ðµ ph°n vinh cüa bang hµi",
GUILD_RANK_COL_LEADER,"Bang chü",
GUILD_RANK_COL_LEVEL,"C¤p ðµ",
GUILD_RANK_COL_NAME,"Bang hµi",
GUILD_RANK_COL_ORDER,HÕng,
GUILD_RANK_COL_POINT,"Ph°n vinh",
GUILD_REPONSE_AGREE,"%s ð°ng ý gia nh§p bang hµi cüa bÕn",
GUILD_REPONSE_DECLINE,"%s t× ch¯i gia nh§p bang hµi cüa bÕn",
GUILD_SEL_ONE_MEMBER,"Vui lòng ch÷n mµt thành viên bang hµi trong bäng li®t kê trß¾c",
GUILD_SET_LEADER,"Vui lòng nh§p danh xßng",
GUILD_SET_LEADER_ERR1,"T× gi¶ ðªn khi Huyªt th¥n chiªn kªt thúc thì bang chü cüa bang ðång ký công thành không th¬ thay ð±i.",
